issue_id,part_id,factory_id,summary,severity,status,defect_rate_percent,detected_at
QI-00001,PART-04011,FAC-010,Dimensional deviation detected during incoming inspection,medium,resolved,6.96,2026-07-07
QI-00002,PART-02929,FAC-025,Seal leakage detected during pressure test,medium,engineering_review,9.63,2026-01-22
QI-00003,PART-01983,FAC-024,Material hardness below specification,high,engineering_review,3.94,2026-03-25
QI-00004,PART-02522,FAC-023,Intermittent sensor reading failure under load,critical,open,8.91,2026-04-11
QI-00005,PART-00040,FAC-005,Surface finish outside specification,medium,open,3.0,2026-08-02
QI-00006,PART-02878,FAC-032,Intermittent sensor reading failure under load,critical,engineering_review,5.62,2026-02-10
QI-00007,PART-04776,FAC-029,Surface finish outside specification,low,resolved,10.65,2026-07-12
QI-00008,PART-03758,FAC-013,Fastener torque inconsistency observed on assembly line,low,resolved,4.85,2026-08-09
QI-00009,PART-01386,FAC-036,Surface finish outside specification,critical,investigating,1.66,2026-04-27
QI-00010,PART-02159,FAC-017,Dimensional deviation detected during incoming inspection,high,engineering_review,11.56,2026-01-11
QI-00011,PART-03049,FAC-015,Surface finish outside specification,critical,investigating,1.02,2026-06-07
QI-00012,PART-01043,FAC-022,Fastener torque inconsistency observed on assembly line,low,resolved,0.46,2026-05-07
QI-00013,PART-02196,FAC-018,Fastener torque inconsistency observed on assembly line,medium,engineering_review,4.3,2026-02-27
QI-00014,PART-03230,FAC-012,Material hardness below specification,medium,open,4.96,2026-04-22
QI-00015,PART-03130,FAC-007,Fastener torque inconsistency observed on assembly line,medium,engineering_review,3.76,2026-04-14
QI-00016,PART-03783,FAC-009,Dimensional deviation detected during incoming inspection,critical,investigating,8.52,2026-04-08
QI-00017,PART-03190,FAC-005,Fastener torque inconsistency observed on assembly line,high,investigating,5.16,2026-02-22
QI-00018,PART-02374,FAC-004,Fastener torque inconsistency observed on assembly line,critical,engineering_review,10.44,2026-08-20
QI-00019,PART-02956,FAC-015,Intermittent sensor reading failure under load,low,engineering_review,5.89,2026-08-01
QI-00020,PART-04806,FAC-021,Seal leakage detected during pressure test,high,investigating,4.87,2026-06-26
QI-00021,PART-01536,FAC-033,Surface finish outside specification,high,resolved,0.57,2026-08-01
QI-00022,PART-03863,FAC-011,Intermittent sensor reading failure under load,critical,resolved,9.08,2026-08-07
QI-00023,PART-04982,FAC-006,Surface finish outside specification,high,resolved,7.61,2026-07-12
QI-00024,PART-04562,FAC-033,Fastener torque inconsistency observed on assembly line,medium,resolved,1.53,2026-01-25
QI-00025,PART-01923,FAC-022,Material hardness below specification,low,open,5.46,2026-06-15
QI-00026,PART-00561,FAC-002,Fastener torque inconsistency observed on assembly line,critical,open,7.2,2026-05-10
QI-00027,PART-03535,FAC-029,Material hardness below specification,medium,investigating,1.07,2026-04-25
QI-00028,PART-03280,FAC-001,Surface finish outside specification,medium,investigating,0.16,2026-07-16
QI-00029,PART-04439,FAC-002,Dimensional deviation detected during incoming inspection,medium,engineering_review,6.76,2026-06-01
QI-00030,PART-04391,FAC-009,Material hardness below specification,low,engineering_review,8.58,2026-04-19
QI-00031,PART-04238,FAC-016,Intermittent sensor reading failure under load,high,open,9.23,2026-01-01
QI-00032,PART-04715,FAC-014,Fastener torque inconsistency observed on assembly line,low,engineering_review,2.24,2026-05-16
QI-00033,PART-04870,FAC-010,Dimensional deviation detected during incoming inspection,high,resolved,6.61,2026-02-03
QI-00034,PART-04016,FAC-007,Dimensional deviation detected during incoming inspection,high,engineering_review,2.47,2026-02-11
QI-00035,PART-02767,FAC-024,Dimensional deviation detected during incoming inspection,medium,engineering_review,8.76,2026-05-06
QI-00036,PART-01554,FAC-035,Seal leakage detected during pressure test,low,resolved,4.04,2026-04-18
QI-00037,PART-01871,FAC-012,Intermittent sensor reading failure under load,low,open,0.58,2026-07-07
QI-00038,PART-02857,FAC-001,Material hardness below specification,medium,resolved,11.6,2026-06-01
QI-00039,PART-01839,FAC-026,Surface finish outside specification,low,engineering_review,10.24,2026-05-12
QI-00040,PART-00520,FAC-003,Fastener torque inconsistency observed on assembly line,high,open,0.68,2026-03-17
QI-00041,PART-03781,FAC-001,Material hardness below specification,medium,resolved,1.02,2026-08-01
