supplier_id,name,region,reliability_score
SUP-0001,Windrift Precision Works #1,Kestrel Bay,0.7
SUP-0002,Windrift Fabrication Ltd. #2,Aurelport,0.86
SUP-0003,Amberfield Precision Works #3,Marrow Vale,0.89
SUP-0004,Amberfield Precision Works #4,Aurelport,0.9
SUP-0005,Cobalt Peak Tooling Group #5,Verdant Hollow,0.76
SUP-0006,Amberfield Tooling Group #6,Windrift,0.8
SUP-0007,Ashgrove Metal Forms Inc. #7,Northfell,0.86
SUP-0008,Silverline Components Co. #8,Northfell,0.77
SUP-0009,Graystone Precision Works #9,Emberfield,0.71
SUP-0010,Cobalt Peak Tooling Group #10,Stonebrook Junction,0.98
SUP-0011,Graystone Metal Forms Inc. #11,Northfell,0.86
SUP-0012,Kestrel Components Co. #12,Kestrel Bay,0.91
SUP-0013,Cobalt Peak Fabrication Ltd. #13,Marrow Vale,0.7
SUP-0014,Ashgrove Metal Forms Inc. #14,Northfell,0.88
SUP-0015,Ashgrove Fabrication Ltd. #15,Windrift,0.72
SUP-0016,Ashgrove Metal Forms Inc. #16,Marrow Vale,0.86
SUP-0017,Ironwood Components Co. #17,Marrow Vale,0.74
SUP-0018,Silverline Components Co. #18,Aurelport,0.8
SUP-0019,Cobalt Peak Components Co. #19,Verdant Hollow,0.79
SUP-0020,Northfield Precision Works #20,Marrow Vale,0.9
SUP-0021,Riverside Components Co. #21,Stonebrook Junction,0.84
SUP-0022,Kestrel Fabrication Ltd. #22,Verdant Hollow,0.75
SUP-0023,Northfield Fabrication Ltd. #23,Aurelport,0.79
SUP-0024,Cobalt Peak Metal Forms Inc. #24,Aurelport,0.8
SUP-0025,Cobalt Peak Fabrication Ltd. #25,Northfell,0.86
SUP-0026,Amberfield Components Co. #26,Emberfield,0.86
SUP-0027,Cobalt Peak Tooling Group #27,Lindmoor,0.94
SUP-0028,Riverside Precision Works #28,Kestrel Bay,0.85
SUP-0029,Ironwood Tooling Group #29,Kestrel Bay,0.89
SUP-0030,Windrift Tooling Group #30,Northfell,0.7
SUP-0031,Graystone Fabrication Ltd. #31,Verdant Hollow,0.75
SUP-0032,Graystone Components Co. #32,Verdant Hollow,0.92
SUP-0033,Windrift Components Co. #33,Windrift,0.88
SUP-0034,Ironwood Metal Forms Inc. #34,Emberfield,0.81
SUP-0035,Windrift Metal Forms Inc. #35,Verdant Hollow,0.74
SUP-0036,Graystone Metal Forms Inc. #36,Draymoor,0.86
SUP-0037,Ashgrove Fabrication Ltd. #37,Draymoor,0.84
SUP-0038,Ironwood Tooling Group #38,Verdant Hollow,0.9
SUP-0039,Cobalt Peak Tooling Group #39,Verdant Hollow,0.9
SUP-0040,Riverside Metal Forms Inc. #40,Kestrel Bay,0.79
SUP-0041,Windrift Components Co. #41,Aurelport,0.86
SUP-0042,Kestrel Precision Works #42,Kestrel Bay,0.83
SUP-0043,Amberfield Metal Forms Inc. #43,Stonebrook Junction,0.71
SUP-0044,Riverside Components Co. #44,Kestrel Bay,0.88
SUP-0045,Windrift Precision Works #45,Verdant Hollow,0.85
SUP-0046,Riverside Components Co. #46,Lindmoor,0.9
SUP-0047,Northfield Components Co. #47,Kestrel Bay,0.88
SUP-0048,Ironwood Fabrication Ltd. #48,Marrow Vale,0.86
SUP-0049,Northfield Metal Forms Inc. #49,Marrow Vale,0.96
SUP-0050,Amberfield Precision Works #50,Verdant Hollow,0.97
SUP-0051,Kestrel Tooling Group #51,Kestrel Bay,0.92
SUP-0052,Silverline Components Co. #52,Kestrel Bay,0.78
SUP-0053,Amberfield Components Co. #53,Stonebrook Junction,0.71
SUP-0054,Silverline Metal Forms Inc. #54,Draymoor,0.95
SUP-0055,Ironwood Metal Forms Inc. #55,Windrift,0.87
SUP-0056,Kestrel Components Co. #56,Lindmoor,0.85
SUP-0057,Graystone Tooling Group #57,Marrow Vale,0.86
SUP-0058,Ashgrove Metal Forms Inc. #58,Aurelport,0.81
SUP-0059,Ironwood Components Co. #59,Emberfield,0.97
SUP-0060,Windrift Fabrication Ltd. #60,Lindmoor,0.86
SUP-0061,Ashgrove Fabrication Ltd. #61,Verdant Hollow,0.82
SUP-0062,Amberfield Precision Works #62,Lindmoor,0.75
SUP-0063,Ashgrove Tooling Group #63,Draymoor,0.82
SUP-0064,Amberfield Fabrication Ltd. #64,Marrow Vale,0.7
SUP-0065,Ironwood Tooling Group #65,Kestrel Bay,0.83
SUP-0066,Ashgrove Precision Works #66,Draymoor,0.96
SUP-0067,Windrift Metal Forms Inc. #67,Marrow Vale,0.83
SUP-0068,Northfield Metal Forms Inc. #68,Stonebrook Junction,0.87
SUP-0069,Graystone Metal Forms Inc. #69,Windrift,0.95
SUP-0070,Riverside Tooling Group #70,Verdant Hollow,0.88
SUP-0071,Ashgrove Components Co. #71,Northfell,0.82
SUP-0072,Riverside Fabrication Ltd. #72,Verdant Hollow,0.8
