factory_id,name,location
FAC-001,Windrift Plant 1,Windrift
FAC-002,Northfell Plant 2,Northfell
FAC-003,Lindmoor Plant 3,Lindmoor
FAC-004,Stonebrook Junction Plant 4,Stonebrook Junction
FAC-005,Aurelport Plant 5,Aurelport
FAC-006,Kestrel Bay Plant 6,Kestrel Bay
FAC-007,Marrow Vale Plant 7,Marrow Vale
FAC-008,Emberfield Plant 8,Emberfield
FAC-009,Northfell Plant 9,Northfell
FAC-010,Stonebrook Junction Plant 10,Stonebrook Junction
FAC-011,Verdant Hollow Plant 11,Verdant Hollow
FAC-012,Kestrel Bay Plant 12,Kestrel Bay
FAC-013,Windrift Plant 13,Windrift
FAC-014,Verdant Hollow Plant 14,Verdant Hollow
FAC-015,Marrow Vale Plant 15,Marrow Vale
FAC-016,Aurelport Plant 16,Aurelport
FAC-017,Emberfield Plant 17,Emberfield
FAC-018,Emberfield Plant 18,Emberfield
FAC-019,Aurelport Plant 19,Aurelport
FAC-020,Windrift Plant 20,Windrift
FAC-021,Marrow Vale Plant 21,Marrow Vale
FAC-022,Marrow Vale Plant 22,Marrow Vale
FAC-023,Stonebrook Junction Plant 23,Stonebrook Junction
FAC-024,Windrift Plant 24,Windrift
FAC-025,Marrow Vale Plant 25,Marrow Vale
FAC-026,Windrift Plant 26,Windrift
FAC-027,Northfell Plant 27,Northfell
FAC-028,Stonebrook Junction Plant 28,Stonebrook Junction
FAC-029,Lindmoor Plant 29,Lindmoor
FAC-030,Emberfield Plant 30,Emberfield
FAC-031,Kestrel Bay Plant 31,Kestrel Bay
FAC-032,Emberfield Plant 32,Emberfield
FAC-033,Kestrel Bay Plant 33,Kestrel Bay
FAC-034,Windrift Plant 34,Windrift
FAC-035,Emberfield Plant 35,Emberfield
FAC-036,Lindmoor Plant 36,Lindmoor
FAC-037,Verdant Hollow Plant 37,Verdant Hollow
FAC-038,Lindmoor Plant 38,Lindmoor
FAC-039,Marrow Vale Plant 39,Marrow Vale
FAC-040,Draymoor Plant 40,Draymoor
