change_id,issue_id,description,status,created_at
EC-00001,QI-11310,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-02-28
EC-00002,QI-07265,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-02-12
EC-00003,QI-07152,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-03-23
EC-00004,QI-10867,Engineering change addressing: seal leakage detected during pressure test,approved,2026-02-18
EC-00005,QI-09881,Engineering change addressing: surface finish outside specification,in_progress,2026-01-07
EC-00006,QI-10577,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-05-02
EC-00007,QI-11211,Engineering change addressing: material hardness below specification,implemented,2026-03-16
EC-00008,QI-11921,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-07-05
EC-00009,QI-11118,Engineering change addressing: surface finish outside specification,implemented,2026-08-27
EC-00010,QI-07778,Engineering change addressing: surface finish outside specification,approved,2026-05-06
EC-00011,QI-09621,Engineering change addressing: material hardness below specification,in_progress,2026-08-16
EC-00012,QI-09510,Engineering change addressing: surface finish outside specification,in_progress,2026-08-22
EC-00013,QI-02954,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-06-17
EC-00014,QI-06787,Engineering change addressing: material hardness below specification,proposed,2026-01-26
EC-00015,QI-10942,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-06-10
EC-00016,QI-07329,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-04-19
EC-00017,QI-07453,Engineering change addressing: surface finish outside specification,implemented,2026-02-10
EC-00018,QI-02967,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-07-25
EC-00019,QI-00019,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-08-01
EC-00020,QI-05388,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-01-14
EC-00021,QI-04874,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-08-07
EC-00022,QI-02530,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-03-15
EC-00023,QI-07908,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-04-24
EC-00024,QI-09869,Engineering change addressing: surface finish outside specification,approved,2026-03-03
EC-00025,QI-00151,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-08-11
EC-00026,QI-03194,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-06-24
EC-00027,QI-08331,Engineering change addressing: surface finish outside specification,implemented,2026-08-07
EC-00028,QI-07843,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-08-10
EC-00029,QI-02398,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-01-21
EC-00030,QI-09311,Engineering change addressing: seal leakage detected during pressure test,approved,2026-03-06
EC-00031,QI-00912,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-04-04
EC-00032,QI-07313,Engineering change addressing: seal leakage detected during pressure test,approved,2026-04-15
EC-00033,QI-10308,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-05-19
EC-00034,QI-11854,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-03-05
EC-00035,QI-09479,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-06-16
EC-00036,QI-06928,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-03-07
EC-00037,QI-09063,Engineering change addressing: surface finish outside specification,implemented,2026-03-24
EC-00038,QI-00943,Engineering change addressing: material hardness below specification,implemented,2026-02-24
EC-00039,QI-02897,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-03-23
EC-00040,QI-11527,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-02-04
EC-00041,QI-02393,Engineering change addressing: material hardness below specification,proposed,2026-05-06
EC-00042,QI-09480,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-03-12
EC-00043,QI-11698,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-06-11
EC-00044,QI-01894,Engineering change addressing: surface finish outside specification,in_progress,2026-02-03
