product_id,name,category
PROD-00001,Wireless Headphones 1,Apparel
PROD-00002,Backpack 2,Home Goods
PROD-00003,Coffee Maker 3,Home Goods
PROD-00004,Rain Jacket 4,Apparel
PROD-00005,Backpack 5,Apparel
PROD-00006,Wireless Headphones 6,Apparel
PROD-00007,Backpack 7,Apparel
PROD-00008,Water Bottle 8,Outdoor
PROD-00009,Yoga Mat 9,Electronics
PROD-00010,Cookware Set 10,Outdoor
PROD-00011,Wireless Headphones 11,Kitchen
PROD-00012,Bluetooth Speaker 12,Outdoor
PROD-00013,Coffee Maker 13,Apparel
PROD-00014,Coffee Maker 14,Kitchen
PROD-00015,Backpack 15,Electronics
PROD-00016,Yoga Mat 16,Electronics
PROD-00017,Wireless Headphones 17,Kitchen
PROD-00018,Yoga Mat 18,Electronics
PROD-00019,Water Bottle 19,Apparel
PROD-00020,Yoga Mat 20,Apparel
PROD-00021,Desk Lamp 21,Electronics
PROD-00022,Wireless Headphones 22,Kitchen
PROD-00023,Bluetooth Speaker 23,Apparel
PROD-00024,Desk Lamp 24,Kitchen
PROD-00025,Backpack 25,Kitchen
PROD-00026,Wireless Headphones 26,Apparel
PROD-00027,Water Bottle 27,Electronics
PROD-00028,Bluetooth Speaker 28,Electronics
PROD-00029,Wireless Headphones 29,Apparel
PROD-00030,Water Bottle 30,Kitchen
PROD-00031,Running Shoes 31,Kitchen
PROD-00032,Running Shoes 32,Electronics
PROD-00033,Rain Jacket 33,Apparel
PROD-00034,Yoga Mat 34,Apparel
PROD-00035,Bluetooth Speaker 35,Electronics
PROD-00036,Wireless Headphones 36,Apparel
PROD-00037,Running Shoes 37,Electronics
PROD-00038,Water Bottle 38,Outdoor
PROD-00039,Wireless Headphones 39,Outdoor
PROD-00040,Coffee Maker 40,Electronics
PROD-00041,Desk Lamp 41,Electronics
PROD-00042,Running Shoes 42,Kitchen
PROD-00043,Cookware Set 43,Electronics
PROD-00044,Water Bottle 44,Apparel
PROD-00045,Cookware Set 45,Kitchen
PROD-00046,Yoga Mat 46,Kitchen
PROD-00047,Yoga Mat 47,Kitchen
PROD-00048,Backpack 48,Kitchen
PROD-00049,Desk Lamp 49,Apparel
PROD-00050,Coffee Maker 50,Kitchen
PROD-00051,Yoga Mat 51,Electronics
PROD-00052,Coffee Maker 52,Home Goods
PROD-00053,Running Shoes 53,Kitchen
PROD-00054,Coffee Maker 54,Home Goods
PROD-00055,Water Bottle 55,Electronics
PROD-00056,Wireless Headphones 56,Outdoor
PROD-00057,Running Shoes 57,Outdoor
PROD-00058,Bluetooth Speaker 58,Electronics
PROD-00059,Coffee Maker 59,Home Goods
PROD-00060,Coffee Maker 60,Home Goods
PROD-00061,Coffee Maker 61,Apparel
PROD-00062,Yoga Mat 62,Kitchen
PROD-00063,Desk Lamp 63,Kitchen
PROD-00064,Running Shoes 64,Electronics
PROD-00065,Coffee Maker 65,Home Goods
PROD-00066,Water Bottle 66,Electronics
PROD-00067,Rain Jacket 67,Kitchen
PROD-00068,Wireless Headphones 68,Electronics
PROD-00069,Rain Jacket 69,Apparel
PROD-00070,Desk Lamp 70,Outdoor
PROD-00071,Rain Jacket 71,Electronics
PROD-00072,Bluetooth Speaker 72,Apparel
PROD-00073,Running Shoes 73,Apparel
PROD-00074,Wireless Headphones 74,Electronics
PROD-00075,Wireless Headphones 75,Apparel
PROD-00076,Yoga Mat 76,Apparel
PROD-00077,Backpack 77,Electronics
PROD-00078,Backpack 78,Electronics
PROD-00079,Backpack 79,Electronics
PROD-00080,Water Bottle 80,Outdoor
PROD-00081,Cookware Set 81,Apparel
PROD-00082,Running Shoes 82,Kitchen
PROD-00083,Bluetooth Speaker 83,Apparel
PROD-00084,Backpack 84,Home Goods
PROD-00085,Rain Jacket 85,Home Goods
PROD-00086,Yoga Mat 86,Outdoor
PROD-00087,Water Bottle 87,Outdoor
PROD-00088,Cookware Set 88,Electronics
PROD-00089,Rain Jacket 89,Electronics
PROD-00090,Desk Lamp 90,Electronics
PROD-00091,Backpack 91,Electronics
PROD-00092,Coffee Maker 92,Home Goods
PROD-00093,Running Shoes 93,Outdoor
PROD-00094,Running Shoes 94,Kitchen
PROD-00095,Backpack 95,Electronics
PROD-00096,Cookware Set 96,Home Goods
PROD-00097,Cookware Set 97,Home Goods
PROD-00098,Wireless Headphones 98,Electronics
PROD-00099,Rain Jacket 99,Outdoor
